UAI,Sigle,Nom Archipel,Nom complet (Archipel),Nom complet,PAS.1.Collège de rattachement,PAS.1.Dénomination principale,PAS.1.Dénomination complémentaire,Education prioritaire (Archipel),Territoire,Adresse,PAS.1.Lieu dit,Code Postal,Ville,IPS,ULIS,Degré,Secteur,Mail,Téléphone,Chef d'établissement,PAS.1.Hébergement,Circonscription,PAS,Nom du PAS,Bassin,Secteur SEGPA,Secteur ERSEH,ERSEH,PIAL,Effectifs ens. Adapté,Effectifs (Archipel),PAS.1.Effectifs,Latitude,Longitude,Lat Moyen Secteur,Long Moyen Secteur,Indice d'éloignement
0673270R,E.P.PU,ECOLE PRIMAIRE KRIMMERI,ECOLE PRIMAIRE KRIMMERI STRASBOURG,GROUPE SCOLAIRE KRIMMERI,,,,Hors EP,,139 B avenue de Colmar,,67100,STRASBOURG,0,0,1er degré,Public,ce.0673270R@ac-strasbourg.fr,03.68.98.52.72 / 06.70.66.30.92,,,STRASBOURG 1,Meinau,Meinau,EUROMETROPOLE,,,,,,219,,48.56264901,7.752904961,"48,55131145","7,7509188",1.269124651
0670078W,"LGT ",LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET STRASBOURG,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET STRASBOURG,,LYCEE GENERAL ET TECHNOLOGIQUE,"JEAN MONNET ",Sans objet,,2 place Albert Schweitzer,,67000,STRASBOURG,91.6,0,2nd degré,Public,ce.0670078W@ac-strasbourg.fr,0388319560,LINO CARPINETA,AVEC INTERNAT ET DEMI PENSION,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,,EUROMETROPOLE 1,ORCESI Marine,PIAL_0671593T,,949,1139,48.56357866,7.769934308,"48,56448978","7,766163451",0.295402053
0670291C,"E.M.PU ",ECOLE MATERNELLE NEUFELD,ECOLE MATERNELLE NEUFELD STRASBOURG,ECOLE MATERNELLE PUBLIQUE NEUFELD STRASBOURG,COLLEGE LOUISE WEISS,"ECOLE MATERNELLE PUBLIQUE ","NEUFELD ",Hors EP,,1 rue du Sundgau,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670291C@ac-strasbourg.fr,0388444154,,,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,,EUROMETROPOLE 1,ORCESI Marine,PIAL_0672156E,,229,273,48.56639537,7.754991698,"48,56448978","7,766163451",0.848940174
0670298K,"E.M.PU ",ECOLE MATERNELLE ZIEGELAU,ECOLE MATERNELLE ZIEGELAU STRASBOURG,ECOLE MATERNELLE PUBLIQUE ZIEGELAU STRASBOURG,COLLEGE LOUISE WEISS,"ECOLE MATERNELLE PUBLIQUE ","ZIEGELAU ",Hors EP,,56 rue de la Grossau,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670298K@ac-strasbourg.fr,0388342722,,,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,,EUROMETROPOLE 1,ORCESI Marine,PIAL_0672156E,,145,154,48.5642614,7.763158864,"48,56448978","7,766163451",0.222550249
0671593T,"CLG ",COLLEGE LOUISE WEISS,COLLEGE LOUISE WEISS STRASBOURG,COLLEGE LOUISE WEISS STRASBOURG,COLLEGE LOUISE WEISS,"COLLEGE ","LOUISE WEISS ",Hors EP,,68 rue Saint Aloïse,,67100,STRASBOURG,89.8,1,2nd degré,Public,ce.0671593T@ac-strasbourg.fr,0388342103,FREDERIC SCARBOLO,SANS INTERNAT AVEC DEMI PENSION,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,,EUROMETROPOLE 1,ORCESI Marine,PIAL_0671593T,,702,717,48.56772291,7.768280628,"48,56448978","7,766163451",0.391810879
0672128Z,"CLG ",COLLEGE JEAN MONNET,COLLEGE JEAN MONNET STRASBOURG,COLLEGE JEAN MONNET STRASBOURG,COLLEGE JEAN MONNET,"COLLEGE ","JEAN MONNET ",Hors EP,,2 place Albert Schweitzer,,67000,STRASBOURG,88.4,1,2nd degré,Public,ce.0672128Z@ac-strasbourg.fr,0388319560,LINO CARPINETA,AVEC INTERNAT ET DEMI PENSION,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,,EUROMETROPOLE 1,ORCESI Marine,PIAL_0671593T,,487,466,48.56357866,7.769934308,"48,56448978","7,766163451",0.295402053
0672156E,"E.P.PU ",ECOLE PRIMAIRE AMPERE,ECOLE PRIMAIRE AMPERE STRASBOURG,ECOLE PRIMAIRE PUBLIQUE AMPERE STRASBOURG,COLLEGE JEAN MONNET,"ECOLE PRIMAIRE PUBLIQUE ","AMPERE ",Hors EP,,37 rue de Wattwiller,,67100,STRASBOURG,0,1,1er degré,Public,ce.0672156E@ac-strasbourg.fr,0388341373,,,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,STRASBOURG Caroline Aigle,EUROMETROPOLE 1,ORCESI Marine,PIAL_0672156E,,282,286,48.56103974,7.784554662,"48,56448978","7,766163451",1.406706304
0672499C,"E.E.PU ",ECOLE PRIMAIRE NEUFELD,ECOLE PRIMAIRE NEUFELD STRASBOURG,ECOLE PRIMAIRE PUBLIQUE NEUFELD STRASBOURG,COLLEGE LOUISE WEISS,"ECOLE PRIMAIRE PUBLIQUE ","NEUFELD ",Hors EP,,1 rue du Sundgau,,67100,STRASBOURG,0,1,1er degré,Public,ce.0672499C@ac-strasbourg.fr,0388340614,,,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,STRASBOURG Lezay Marnésia,EUROMETROPOLE 1,ORCESI Marine,PIAL_0672156E,,482,510,48.56639537,7.754991698,"48,56448978","7,766163451",0.848940174
0672575K,"E.E.PU ",ECOLE PRIMAIRE ZIEGELAU,ECOLE PRIMAIRE ZIEGELAU STRASBOURG,ECOLE PRIMAIRE PUBLIQUE ZIEGELAU STRASBOURG,COLLEGE LOUISE WEISS,"ECOLE PRIMAIRE PUBLIQUE ","ZIEGELAU ",Hors EP,,1 rue de la Ziegelau,,67100,STRASBOURG,0,1,1er degré,Public,ce.0672575K@ac-strasbourg.fr,0388349661,,,STRASBOURG 3,Neudorf-Musau,Neudorf-Musau,EUROMETROPOLE,STRASBOURG Lezay Marnésia,EUROMETROPOLE 1,ORCESI Marine,PIAL_0672156E,,217,240,48.56294616,7.76346144,"48,56448978","7,766163451",0.262671507
0670293E,"E.M.PU ",ECOLE DES HIRONDELLES,ECOLE DES HIRONDELLES STRASBOURG,ECOLE MATERNELLE PUBLIQUE DES HIRONDELLES STRASBOURG,COLLEGE STOCKFELD,"ECOLE MATERNELLE PUBLIQUE ","DES HIRONDELLES ",Hors EP,,34 route d'Altenheim,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670293E@ac-strasbourg.fr,0388395364,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,38,50,48.54092491,7.767047183,"48,54422341","7,768260555",0.37749672
0670295G,"E.M.PU ",ECOLE MATERNELLE RODOLPHE REUSS,ECOLE MATERNELLE RODOLPHE REUSS STRASBOURG,ECOLE MATERNELLE PUBLIQUE RODOLPHE REUSS STRASBOURG,COLLEGE STOCKFELD,"ECOLE MATERNELLE PUBLIQUE ","RODOLPHE REUSS ",REP,REP,62 allée Reuss,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670295G@ac-strasbourg.fr,0388396002,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,234,246,48.54201904,7.774292352,"48,54422341","7,768260555",0.507204533
0670297J,"E.M.PU ",ECOLE MATERNELLE STOCKFELD,ECOLE MATERNELLE STOCKFELD STRASBOURG,ECOLE MATERNELLE PUBLIQUE STOCKFELD STRASBOURG,COLLEGE STOCKFELD,"ECOLE MATERNELLE PUBLIQUE ","STOCKFELD ",REP,REP,1 rue du Loriot,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670297J@ac-strasbourg.fr,0388397407,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,224,209,48.52929391,7.770166455,"48,54422341","7,768260555",1.666004012
0670383C,"E.E.PU ",ECOLE PRIMAIRE GUYNEMER 1,ECOLE PRIMAIRE GUYNEMER 1 STRASBOURG,ECOLE ELEMENTAIRE PUBLIQUE GUYNEMER I STRASBOURG,COLLEGE SOLIGNAC,"ECOLE ELEMENTAIRE PUBLIQUE ","GUYNEMER I ",REP+,REP+,11 rue d'Argenton,,67100,STRASBOURG,0,1,1er degré,Public,ce.0670383C@ac-strasbourg.fr,0388342275,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Solignac,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0670383C,,142,143,48.55071615,7.769973357,"48,54422341","7,768260555",0.732886555
0670384D,"E.E.PU ",ECOLE PRIMAIRE GUYNEMER 2,ECOLE PRIMAIRE GUYNEMER 2 STRASBOURG,ECOLE ELEMENTAIRE PUBLIQUE GUYNEMER II STRASBOURG,COLLEGE SOLIGNAC,"ECOLE ELEMENTAIRE PUBLIQUE ","GUYNEMER II ",REP+,REP+,16 rue de Châteauroux,,67100,STRASBOURG,0,1,1er degré,Public,ce.0670384D@ac-strasbourg.fr,0388344130,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Solignac,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0670383C,,150,151,48.55203784,7.769601013,"48,54422341","7,768260555",0.874509441
0670392M,"E.P.PU ",ECOLE PRIMAIRE ALICE MOSNIER,ECOLE PRIMAIRE ALICE MOSNIER STRASBOURG,ECOLE PRIMAIRE PUBLIQUE ALICE MOSNIER STRASBOURG,COLLEGE STOCKFELD,"ECOLE PRIMAIRE PUBLIQUE ","ALICE MOSNIER ",Hors EP,,6 rue Welsch,,67100,STRASBOURG,0,0,1er degré,Public,ce.0670392M@ac-strasbourg.fr,0388396839,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Stockfeld,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,322,340,48.53585228,7.769935978,"48,54422341","7,768260555",0.938963664
0670396S,"E.E.PU ",ECOLE PRIMAIRE RODOLPHE REUSS 1,ECOLE PRIMAIRE RODOLPHE REUSS 1 STRASBOURG,ECOLE ELEMENTAIRE PUBLIQUE RODOLPHE REUSS 1 STRASBOURG,COLLEGE STOCKFELD,"ECOLE ELEMENTAIRE PUBLIQUE ","RODOLPHE REUSS 1 ",REP,REP,58 allée Reuss,,67100,STRASBOURG,0,1,1er degré,Public,ce.0670396S@ac-strasbourg.fr,0388397402,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Stockfeld,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,187,209,48.54267188,7.773139885,"48,54422341","7,768260555",0.398483526
0670397T,"E.E.PU ",ECOLE ELEMENTAIRE RODOLPHE REUSS 2,ECOLE ELEMENTAIRE RODOLPHE REUSS 2 STRASBOURG,ECOLE ELEMENTAIRE PUBLIQUE RODOLPHE REUSS 2 STRASBOURG,COLLEGE STOCKFELD,"ECOLE ELEMENTAIRE PUBLIQUE ","RODOLPHE REUSS 2 ",REP,REP,60 allée Reuss,,67100,STRASBOURG,0,1,1er degré,Public,ce.0670397T@ac-strasbourg.fr,0388394138,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Stockfeld,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,185,204,48.54241036,7.773592426,"48,54422341","7,768260555",0.441262002
0670404A,"E.E.PU ",ECOLE PRIMAIRE STOCKFELD,ECOLE PRIMAIRE STOCKFELD STRASBOURG,ECOLE ELEMENTAIRE PUBLIQUE STOCKFELD STRASBOURG,COLLEGE STOCKFELD,"ECOLE ELEMENTAIRE PUBLIQUE ","STOCKFELD ",REP,REP,1 rue du Loriot,,67100,STRASBOURG,0,1,1er degré,Public,ce.0670404A@ac-strasbourg.fr,0388396039,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Stockfeld,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,,312,290,48.52929391,7.770166455,"48,54422341","7,768260555",1.666004012
0671691Z,"CLG ",COLLEGE STOCKFELD,COLLEGE STOCKFELD STRASBOURG,COLLEGE STOCKFELD STRASBOURG,COLLEGE STOCKFELD,"COLLEGE ","STOCKFELD ",REP,REP,71 rue des Jésuites,,67100,STRASBOURG,72,1,2nd degré,Public,ce.0671691Z@ac-strasbourg.fr,0390401683,Frédérick Ansart,SANS INTERNAT AVEC DEMI PENSION,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671691Z,71,515,623,48.5386762,7.7638854,"48,54422341","7,768260555",0.695855374
0671692A,"CLG ",COLLEGE SOLIGNAC,COLLEGE SOLIGNAC STRASBOURG,COLLEGE SOLIGNAC STRASBOURG,COLLEGE SOLIGNAC,"COLLEGE ","SOLIGNAC ",REP+,REP+,16 rue Louis Braille,,67100,STRASBOURG,71.2,1,2nd degré,Public,ce.0671692A@ac-strasbourg.fr,0388395823,Olivier Wahl,SANS INTERNAT NI DEMI PENSION,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671692A,54,309,405,48.54743717,7.76268447,"48,54422341","7,768260555",0.544234413
0671890R,"E.M.PU ",ECOLE MATERNELLE LES CANONNIERS,ECOLE MATERNELLE LES CANONNIERS STRASBOURG,ECOLE MATERNELLE PUBLIQUE LES CANONNIERS STRASBOURG,COLLEGE SOLIGNAC,"ECOLE MATERNELLE PUBLIQUE ","LES CANONNIERS ",REP+,REP+,5 rue de Gribeauval,,67100,STRASBOURG,0,0,1er degré,Public,ce.0671890R@ac-strasbourg.fr,0388344878,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671692A,,36,44,48.55484774,7.765582185,"48,54422341","7,768260555",1.197708838
0672422U,"E.E.PU ",ECOLE PRIMAIRE ZIEGELWASSER,ECOLE PRIMAIRE ZIEGELWASSER STRASBOURG,ECOLE PRIMAIRE PUBLIQUE ZIEGELWASSER STRASBOURG,COLLEGE SOLIGNAC,"ECOLE PRIMAIRE PUBLIQUE ","ZIEGELWASSER ",REP+,REP+,3 rue de Bergerac,,67100,STRASBOURG,0,1,1er degré,Public,ce.0672422U@ac-strasbourg.fr,0388443497,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,STRASBOURG Solignac,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671692A,,233,235,48.55235902,7.761617266,"48,54422341","7,768260555",1.028349666
0672423V,"E.M.PU ",ECOLE MATERNELLE ZIEGELWASSER,ECOLE MATERNELLE ZIEGELWASSER STRASBOURG,ECOLE MATERNELLE PUBLIQUE ZIEGELWASSER STRASBOURG,COLLEGE SOLIGNAC,"ECOLE MATERNELLE PUBLIQUE ","ZIEGELWASSER ",REP+,REP+,1 rue de Bergerac,,67100,STRASBOURG,0,0,1er degré,Public,ce.0672423V@ac-strasbourg.fr,0388443018,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0671692A,,82,107,48.55202287,7.761594841,"48,54422341","7,768260555",0.996439654
0672886Y,"E.M.PU ",ECOLE MATERNELLE ARIANE ICARE,ECOLE MATERNELLE ARIANE ICARE STRASBOURG,ECOLE MATERNELLE PUBLIQUE ARIANE ICARE STRASBOURG,COLLEGE SOLIGNAC,"ECOLE MATERNELLE PUBLIQUE ","ARIANE ICARE ",REP+,REP+,7 rue Roland Garros,,67100,STRASBOURG,0,0,1er degré,Public,ce.0672886Y@ac-strasbourg.fr,0388344855,,,STRASBOURG 3,Neuhof,Neuhof,EUROMETROPOLE,,STRASBOURG SUD 1,APRAHAMIAN Gilles,PIAL_0670383C,,199,139,48.55278781,7.770629058,"48,54422341","7,768260555",0.968145459
0670353V,"E.M.PU ",ECOLE MATERNELLE LE PETIT VERGER,ECOLE MATERNELLE LE PETIT VERGER GUNDERSHOFFEN,ECOLE MATERNELLE PUBLIQUE LE PETIT VERGER GUNDERSHOFFEN,COLLEGE JACQUES TATI,"ECOLE MATERNELLE PUBLIQUE ","LE PETIT VERGER ",Hors EP,,7 rue des Tuiles,,67110,GUNDERSHOFFEN,0,0,1er degré,Public,ce.0670353V@ac-strasbourg.fr,0388729580,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,,NORD 4,SPITZER Bénédicte,PIAL_0671595V,,73,87,48.90763296,7.660523439,"48,91888555","7,708009121",3.688818267
0670671R,"E.E.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE BIBLISHEIM,ECOLE ELEMENTAIRE PUBLIQUE BIBLISHEIM,COLLEGE MARECHAL DE MAC MAHON,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,27 route de Walbourg,,67360,BIBLISHEIM,0,0,1er degré,Public,ce.0670671R@ac-strasbourg.fr,0388902646,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,18,37,48.89858245,7.791406146,"48,91888555","7,708009121",6.499666018
0670672S,"E.E.PU ",ECOLE PRIMAIRE JEAN FREDERIC OBERLIN,ECOLE PRIMAIRE JEAN FREDERIC OBERLIN DIEFFENBACH LES WOERTH,ECOLE PRIMAIRE PUBLIQUE JEAN FREDERIC OBERLIN DIEFFENBACH LES WOERTH,COLLEGE MARECHAL DE MAC MAHON,"ECOLE PRIMAIRE PUBLIQUE ","JEAN FREDERIC OBERLIN ",Hors EP,,2 rue de Preuschdorf,,67360,DIEFFENBACH LES WOERTH,0,0,1er degré,Public,ce.0670672S@ac-strasbourg.fr,0388540277,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,15,18,48.93426148,7.779271587,"48,91888555","7,708009121",5.479834904
0670676W,"E.P.PU ",GROUPE SCOLAIRE LA ROSE DES VENTS,GROUPE SCOLAIRE LA ROSE DES VENTS ESCHBACH,GROUPE SCOLAIRE LA ROSE DES VENTS ESCHBACH,COLLEGE MARECHAL DE MAC MAHON,"GROUPE SCOLAIRE ","LA ROSE DES VENTS ",Hors EP,,3 rue de la Mairie,,67360,ESCHBACH,0,0,1er degré,Public,ce.0670676W@ac-strasbourg.fr,0388903309,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0672494X,,63,84,48.87514291,7.736967774,"48,91888555","7,708009121",5.304658982
0670678Y,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE FORSTHEIM,ECOLE PRIMAIRE PUBLIQUE FORSTHEIM,COLLEGE JACQUES TATI,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,47 rue Principale,,67580,FORSTHEIM,0,0,1er degré,Public,ce.0670678Y@ac-strasbourg.fr,0388904660,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0672494X,,42,43,48.89760865,7.714059641,"48,91888555","7,708009121",2.406853085
0670681B,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE FROESCHWILLER,ECOLE PRIMAIRE PUBLIQUE FROESCHWILLER,COLLEGE MARECHAL DE MAC MAHON,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,15 rue Principale,,67360,FROESCHWILLER,0,0,1er degré,Public,ce.0670681B@ac-strasbourg.fr,0388540134,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,42,41,48.94227044,7.722927262,"48,91888555","7,708009121",2.819420056
0670682C,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE GOERSDORF,ECOLE PRIMAIRE PUBLIQUE GOERSDORF,COLLEGE MARECHAL DE MAC MAHON,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,86 rue Principale,,67360,GOERSDORF,0,0,1er degré,Public,ce.0670682C@ac-strasbourg.fr,0388094279,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,55,75,48.95084105,7.767195138,"48,91888555","7,708009121",5.596132514
0670689K,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE LANGENSOULTZBACH,ECOLE PRIMAIRE PUBLIQUE LANGENSOULTZBACH,COLLEGE MARECHAL DE MAC MAHON,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,1 rue de Nehwiller,,67360,LANGENSOULTZBACH,0,0,1er degré,Public,ce.0670689K@ac-strasbourg.fr,0388093381,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,79,76,48.96733663,7.731829392,"48,91888555","7,708009121",5.661431504
0670690L,"E.E.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE LAUBACH,ECOLE ELEMENTAIRE PUBLIQUE LAUBACH,COLLEGE MARECHAL DE MAC MAHON,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,40 rue Principale,,67580,LAUBACH,0,0,1er degré,Public,ce.0670690L@ac-strasbourg.fr,0388901228,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,18,34,48.88086277,7.720590253,"48,91888555","7,708009121",4.32680212
0670699W,"E.E.PU ",ECOLE DU SELTZBACH,ECOLE DU SELTZBACH PREUSCHDORF,ECOLE ELEMENTAIRE PUBLIQUE PREUSCHDORF,COLLEGE MARECHAL DE MAC MAHON,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,15 rue du Puits Clémenceau,,67250,PREUSCHDORF,0,0,1er degré,Public,ce.0670699W@ac-strasbourg.fr,0388807231,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,39,62,48.94135546,7.809433461,"48,91888555","7,708009121",7.819257731
0670701Y,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE WALBOURG,ECOLE PRIMAIRE PUBLIQUE WALBOURG,COLLEGE MARECHAL DE MAC MAHON,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,48 grand'rue,,67360,WALBOURG,0,0,1er degré,Public,ce.0670701Y@ac-strasbourg.fr,0388902725,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 2,KOPPITZ Céline,PIAL_0671596W,,48,41,48.88629909,7.792638016,"48,91888555","7,708009121",7.168908258
0670813V,"E.E.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE ROTHBACH,ECOLE ELEMENTAIRE PUBLIQUE ROTHBACH,COLLEGE CHARLES MUNCH,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,13 rue du Pasteur Huser,,67340,ROTHBACH,0,0,1er degré,Public,ce.0670813V@ac-strasbourg.fr,0388893571,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0671595V,,24,39,48.90727878,7.529880528,"48,91888555","7,708009121",13.08104089
0670838X,"E.P.PU ",ECOLE PRIMAIRE EX GRIESBACH,ECOLE PRIMAIRE EX GRIESBACH GUNDERSHOFFEN,ECOLE PRIMAIRE PUBLIQUE EX GRIESBACH GUNDERSHOFFEN,COLLEGE JACQUES TATI,"ECOLE PRIMAIRE PUBLIQUE ","EX GRIESBACH ",Hors EP,,49 rue Principale,,67110,GUNDERSHOFFEN,0,0,1er degré,Public,ce.0670838X@ac-strasbourg.fr,0388901246,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0672494X,,38,28,48.88989841,7.677332098,"48,91888555","7,708009121",3.926397687
0670840Z,"E.P.PU ",ECOLE PRIMAIRE INTERCOMMUNALE MIETESHEIM UTTENHOFFEN,ECOLE PRIMAIRE INTERCOMMUNALE MIETESHEIM UTTENHOFFEN MIETESHEIM,ECOLE PRIMAIRE PUBLIQUE INTERCOMMUNALE MIETESHEIM UTTE MIETESHEIM,COLLEGE JACQUES TATI,"ECOLE PRIMAIRE PUBLIQUE ",INTERCOMMUNALE MIETESHEIM UTTE,Hors EP,,4 rue de l'Ecole,,67580,MIETESHEIM,0,0,1er degré,Public,ce.0670840Z@ac-strasbourg.fr,0388903879,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0672494X,,34,43,48.87959578,7.638621882,"48,91888555","7,708009121",6.694207781
0670841A,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE OFFWILLER,ECOLE PRIMAIRE PUBLIQUE OFFWILLER,COLLEGE CHARLES MUNCH,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,3 rue des Ecoles,,67340,OFFWILLER,0,0,1er degré,Public,ce.0670841A@ac-strasbourg.fr,0388893849,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0671595V,,47,36,48.90982546,7.540213384,"48,91888555","7,708009121",12.30312057
0670842B,"E.P.PU ",ECOLE PRIMAIRE PIERRE DE LEUSSE,ECOLE PRIMAIRE PIERRE DE LEUSSE REICHSHOFFEN,ECOLE PRIMAIRE PUBLIQUE PIERRE DE LEUSSE REICHSHOFFEN,COLLEGE FRANCOISE DOLTO,"ECOLE PRIMAIRE PUBLIQUE ","PIERRE DE LEUSSE ",Hors EP,,22 rue du Cerf,,67110,REICHSHOFFEN,0,0,1er degré,Public,ce.0670842B@ac-strasbourg.fr,0388090051,,,HAGUENAU NORD,NIEDERBRONN-SAUER,Niederbronn-Sauer,NORD,COLLEGE FRANCOISE DOLTO,NORD 4,SPITZER Bénédicte,PIAL_0671595V,,142,161,48.92763019,7.659240692,"48,91888555","7,708009121",3.693449497
